from,to,transportation_type_id,transportation_type,price_unit,unit,price_euro,duration_minutes
12,80,1,flight,1700000,IDR,103.52,1080.0
12,81,1,flight,90,USD,77.22,790.0
12,81, ,car,140,USD,120.12,1570.8
12,82,1,flight,2400,CNY,322.3,560.0
12,82, ,car,2200,CNY,295.44,2427.5
12,82,1,flight,3900,CNY,523.74,1265.0
12,82, ,car,2100,CNY,282.02,2385.9
12,82,1,flight,2400,CNY,322.3,560.0
12,82, ,car,2200,CNY,295.44,2427.5
12,82,1,flight,3900,CNY,523.74,1265.0
12,82, ,car,2100,CNY,282.02,2385.9
12,83,1,flight,460000,KRW,335.04,530.0
12,83, ,car,700000,KRW,509.85,3376.2
12,83, ,car,700000,KRW,509.85,3341.0
12,83,1,flight,460000,KRW,335.04,530.0
12,83, ,car,700000,KRW,509.85,3376.2
12,83, ,car,700000,KRW,509.85,3341.0
12,84,1,flight,850,SAR,-1,1120.0
12,85,1,flight,2400,CNY,322.3,790.0
12,85, ,car,1600,CNY,214.87,1830.4
12,86,1,flight,800,SAR,-1,1095.0
12,86, ,car,0,,0,6743.3
12,87,1,flight,340,USD,291.72,865.0
12,87,1,flight,340,USD,291.72,865.0
12,88, ,car,3600,THB,92.59,961.9
12,89,1,flight,34000,JPY,255.41,605.0
12,89,1,flight,55000,JPY,413.16,745.0
12,89,1,flight,34000,JPY,255.41,605.0
12,89,1,flight,55000,JPY,413.16,745.0
12,90,1,flight,2500,THB,64.3,780.0
12,90, ,car,5000,THB,128.6,1466.5
12,91,1,flight,10000,INR,114.29,770.0
12,91, ,car,28000,INR,320.0,3286.8
12,92, ,car,1600,CNY,214.87,1869.0
12,93,1,flight,9500,INR,108.57,710.0
12,93, ,car,23000,INR,262.86,2610.8
12,94,1,flight,360,MYR,74.05,910.0
12,94, ,car,470,MYR,96.67,1945.2
12,94,1,flight,450,MYR,92.56,1145.0
12,94, ,car,460,MYR,94.61,1911.3
12,94,1,flight,360,MYR,74.05,910.0
12,94, ,car,470,MYR,96.67,1945.2
12,94,1,flight,450,MYR,92.56,1145.0
12,94, ,car,460,MYR,94.61,1911.3
13,9,1,flight,340,USD,291.72,515.0
13,10,1,flight,200,USD,171.6,850.0
13,10, ,car,100,USD,85.8,1657.5
13,11,1,flight,490,USD,420.42,475.0
13,11, ,car,850,USD,729.3,8086.5
13,12,1,flight,340,USD,291.72,835.0
13,12, ,car,400,USD,343.2,6748.6
13,15,1,flight,320,USD,274.56,385.0
13,17,1,flight,170,USD,145.86,130.0
13,17, ,car,70,USD,60.06,1018.0
13,18,1,flight,160,USD,137.28,355.0
13,19,1,flight,190,USD,163.02,415.0
13,20,1,flight,240,USD,205.92,165.0
