YBR,Brandon Municipal Airport,Brandon,CA,Canada,49.91,-99.9519
YBT,Brochet Airport,Brochet,CA,Canada,57.8894,-101.679
YBV,Berens River Airport,Berens River,CA,Canada,52.3589,-97.0183
YBX,Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,CA,Canada,51.4436,-57.1853
YRF,Cartwright Airport,Cartwright,CA,Canada,53.6828,-57.0419
YCB,Cambridge Bay Airport,Cambridge Bay,CA,Canada,69.1081,-105.138
YCC,Cornwall Regional Airport,Cornwall,CA,Canada,45.0928,-74.5633
YCD,Nanaimo Airport,Nanaimo,CA,Canada,49.0523,-123.87
YCE,James T. Field Memorial Aerodrome,Centralia,CA,Canada,43.2856,-81.5083
YCG,Castlegar/West Kootenay Regional Airport,Castlegar,CA,Canada,49.2964,-117.632
YCH,Miramichi Airport,Miramichi,CA,Canada,47.0078,-65.4492
XCM,Chatham Kent Airport,Chatham-Kent,CA,Canada,42.3064,-82.0819
YCL,Charlo Airport,Charlo,CA,Canada,47.9908,-66.3303
YCN,Cochrane Airport,Cochrane,CA,Canada,49.1056,-81.0136
YCO,Kugluktuk Airport,Kugluktuk,CA,Canada,67.8167,-115.144
YCQ,Chetwynd Airport,Chetwynd,CA,Canada,55.6872,-121.627
YCR,Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,CA,Canada,54.6106,-97.7608
YCS,Chesterfield Inlet Airport,Chesterfield Inlet,CA,Canada,63.3469,-90.7311
YCY,Clyde River Airport,Clyde River,CA,Canada,70.4861,-68.5167
YCZ,Fairmont Hot Springs Airport,Fairmont Hot Springs,CA,Canada,50.3303,-115.873
YDA,Dawson City Airport,Dawson,CA,Canada,64.0431,-139.128
YDB,Burwash Airport,Burwash,CA,Canada,61.3711,-139.041
YDF,Deer Lake Airport,Deer Lake,CA,Canada,49.2108,-57.3914
XRR,Ross River Airport,Ross River,CA,Canada,61.9706,-132.423
YDN,Dauphin Barker Airport,Dauphin,CA,Canada,51.1008,-100.052
YDO,Dolbeau St Felicien Airport,Dolbeau-St-Felicien,CA,Canada,48.7785,-72.375
YDP,Nain Airport,Nain,CA,Canada,56.5492,-61.6803
YDQ,Dawson Creek Airport,Dawson Creek,CA,Canada,55.7423,-120.183
YEG,Edmonton International Airport,Edmonton,CA,Canada,53.3097,-113.58
YEK,Arviat Airport,Arviat,CA,Canada,61.0942,-94.0708
YEL,Elliot Lake Municipal Airport,Elliot Lake,CA,Canada,46.3514,-82.5614
YEM,Manitoulin East Municipal Airport,Manitowaning,CA,Canada,45.8428,-81.8581
YEN,Estevan Airport,Estevan,CA,Canada,49.2103,-102.966
YER,Fort Severn Airport,Fort Severn,CA,Canada,56.0189,-87.6761
