id,city,airplanCode1,airplanCode2,id2,alt,lng,stateCode,country
468,Petrozavodsk,pes,,145,61.7833,34.35,,Russia
469,Orsk,osw,,145,51.2145,58.5441,,Russia
471,Kaluga,klf,,145,54.5333,36.2667,,Russia
472,Okha,ohh,,145,53.5833,142.9333,,Russia
473,Briansk,bzk,,145,53.2423778,34.3668288,,Russia
475,Kyzyl,kyz,,145,51.7167,94.45,,Russia
476,Tiksi,iks,,145,71.6269,128.835,,Russia
477,Yaroslavl,iar,,145,57.6167,39.85,,Russia
478,Pevek,pwe,,145,69.7,170.3167,,Russia
480,Velikij Ustyug,vus,,145,60.7589,46.3039,,Russia
481,Aldan,adh,,145,58.6,125.3833,,Russia
483,Beloyarsky,eyk,,145,63.7156353,66.6667691,,Russia
484,Bodaybo,odo,,145,57.8506,114.1933,,Russia
485,Ust-Kut,ukx,,145,56.780561,105.7489287,,Russia
486,Usinsk,usk,,145,65.9998,57.5414,,Russia
487,Nyagan,nya,,145,62.1333,65.3833,,Russia
489,Lensk,ulk,,145,60.7167,114.9,,Russia
490,Batagay,bqj,,145,67.656,134.635,,Russia
491,Uraj,urj,,145,60.1333,64.7833,,Russia
492,Nikolaevsk-na-Amure,nli,,145,53.15,140.7333,,Russia
493,Berezovo,ezv,,145,54.0930506,39.2975747,,Russia
494,Bugulma,uua,,145,54.5333,52.7833,,Russia
498,Belaya Gora,bgn,,145,68.53701,146.187286,,Russia
501,Lipetsk,lpk,,145,52.6167,39.6,,Russia
502,Nyurba,nyr,,145,63.2833,118.3333,,Russia
504,Ust-Maya,ums,,145,60.4566,134.5433,,Russia
505,Iturup,itu,,145,44.9906085,147.8382321,,Russia
507,Keperveyem,kpw,,145,67.8415768,166.1428991,,Russia
508,Deputatsky,dpt,,145,69.3396494,139.9468635,,Russia
510,Ust-Nera,usr,,145,64.5666,143.2,,Russia
512,Terney,nei,,145,45.0504046,136.6137293,,Russia
513,Olenyok,onk,,145,68.525,112.45,,Russia
514,Cherskiy,cyx,,145,68.7501,161.33,,Russia
515,Kavalerovo,kvr,,145,44.2702,135.0498,,Russia
516,Igarka,iaa,,145,67.4667,86.5667,,Russia
517,Igrim,irm,,145,63.1933,64.4194,,Russia
519,Ust-Kuyga,ukg,,145,70.00177,135.549835,,Russia
520,Hatanga,htg,,145,72.0411,102.465,,Russia
521,Dalnegorsk,dhg,,145,44.5539,135.5661,,Russia
522,Nogliki,ngk,,145,51.8333,143.1667,,Russia
523,Chokurdah,ckh,,145,70.6183,147.8946,,Russia
526,Tynda,tyd,,145,55.15,124.7167,,Russia
528,Podkamennaya Tunguska,tgp,,145,61.5995,90.1236,,Russia
529,Zhigansk,zix,,145,66.7697,123.3711,,Russia
530,Dikson,dks,,145,73.507,80.5451,,Russia
531,Verkhnevilyuysk,vhv,,145,63.4457,120.3167,,Russia
532,Vilyuysk,vyi,,145,63.75,121.6167,,Russia
533,Dalnerechensk,dlr,,145,45.9333,133.7333,,Russia
534,Svetlaya,etl,,145,65.2215948,41.0060242,,Russia
